itinerary_id,day,order,poi_id
trip00005,day2,6,hotel01822
trip00005,day3,1,hotel01822
trip00005,day3,2,attraction00042
trip00005,day3,3,restaurant01705
trip00005,day3,4,attraction00018
trip00005,day3,5,attraction00010
trip00005,day3,6,hotel01822
trip00006,day1,1,hotel01886
trip00006,day1,2,attraction00005
trip00006,day1,3,attraction00035
trip00006,day1,4,attraction00007
trip00006,day1,5,attraction00037
trip00006,day1,6,restaurant01102
trip00006,day1,7,hotel01886
trip00006,day2,1,hotel01886
trip00006,day2,2,attraction00026
trip00006,day2,3,restaurant01104
trip00006,day2,4,attraction00020
trip00006,day2,5,restaurant01130
trip00006,day2,6,restaurant01246
trip00006,day2,7,hotel01886
trip00006,day3,1,hotel01886
trip00006,day3,2,attraction00045
trip00006,day3,3,attraction00050
trip00006,day3,4,attraction00021
trip00006,day3,5,attraction00030
trip00006,day3,6,restaurant01111
trip00006,day3,7,attraction00047
trip00006,day3,8,hotel01886
trip00007,day1,1,hotel01835
trip00007,day1,2,attraction00040
trip00007,day1,3,restaurant01133
trip00007,day1,4,attraction00039
trip00007,day1,5,restaurant01152
trip00007,day1,6,hotel01835
trip00008,day1,1,hotel01835
trip00008,day1,2,attraction00043
trip00008,day1,3,attraction00009
trip00008,day1,4,attraction00010
trip00008,day1,5,attraction00017
trip00008,day1,6,restaurant01148
trip00008,day1,7,hotel01835
trip00008,day2,1,hotel01835
trip00008,day2,2,restaurant01278
trip00008,day2,3,restaurant01156
trip00008,day2,4,restaurant01101
trip00008,day2,5,attraction00051
trip00008,day2,6,restaurant01707
trip00008,day2,7,attraction00035
trip00008,day2,8,hotel01835
trip00009,day1,1,hotel01877
trip00009,day1,2,restaurant01716
trip00009,day1,3,restaurant01099
trip00009,day1,4,attraction00039
trip00009,day1,5,attraction00007
trip00009,day1,6,hotel01877
trip00009,day2,1,hotel01877
trip00009,day2,2,restaurant01151
trip00009,day2,3,attraction00037
trip00009,day2,4,restaurant01124
trip00009,day2,5,attraction00024
trip00009,day2,6,hotel01877
trip00010,day1,1,hotel01830
trip00010,day1,2,restaurant01098
trip00010,day1,3,attraction00007
trip00010,day1,4,restaurant01137
trip00010,day1,5,restaurant01721
trip00010,day1,6,attraction00044
trip00010,day1,7,hotel01830
trip00011,day1,1,hotel01840
trip00011,day1,2,attraction00011
trip00011,day1,3,restaurant01142
trip00011,day1,4,attraction00014
trip00011,day1,5,attraction00027
trip00011,day1,6,attraction00049
trip00011,day1,7,attraction00040
trip00011,day1,8,hotel01840
trip00011,day2,1,hotel01840
trip00011,day2,2,attraction00016
trip00011,day2,3,attraction00025
trip00011,day2,4,restaurant01130
trip00011,day2,5,attraction00022
trip00011,day2,6,restaurant01264
trip00011,day2,7,attraction00004
trip00011,day2,8,attraction00037
trip00011,day2,9,hotel01840
trip00011,day3,1,hotel01840
trip00011,day3,2,restaurant01155
trip00011,day3,3,restaurant01120
trip00011,day3,4,restaurant01698
trip00011,day3,5,attraction00019
trip00011,day3,6,attraction00006
trip00011,day3,7,hotel01840
trip00011,day4,1,hotel01840
trip00011,day4,2,attraction00013
trip00011,day4,3,restaurant01095
trip00011,day4,4,restaurant01232
trip00011,day4,5,attraction00010
trip00011,day4,6,restaurant01246
trip00011,day4,7,hotel01840
trip00012,day1,1,hotel01891
trip00012,day1,2,attraction00022
trip00012,day1,3,restaurant01724
trip00012,day1,4,restaurant01151
trip00012,day1,5,restaurant01250
trip00012,day1,6,restaurant01246
trip00012,day1,7,hotel01891
trip00012,day2,1,hotel01891
trip00012,day2,2,restaurant01716
trip00012,day2,3,attraction00002
trip00012,day2,4,restaurant01117
trip00012,day2,5,attraction00024
trip00012,day2,6,hotel01891
trip00012,day3,1,hotel01891
trip00012,day3,2,restaurant01705
trip00012,day3,3,restaurant01706
trip00012,day3,4,attraction00027
trip00012,day3,5,attraction00044
trip00012,day3,6,restaurant01102
trip00012,day3,7,hotel01891
trip00012,day4,1,hotel01891
trip00012,day4,2,attraction00005
trip00012,day4,3,restaurant01135
trip00012,day4,4,restaurant01724
trip00012,day4,5,attraction00026
trip00012,day4,6,restaurant01161
trip00012,day4,7,hotel01891
trip00013,day1,1,hotel01834
trip00013,day1,2,attraction00042
trip00013,day1,3,restaurant01105
trip00013,day1,4,restaurant01123
trip00013,day1,5,attraction00044
trip00013,day1,6,restaurant01712
trip00013,day1,7,hotel01834
trip00013,day2,1,hotel01834
trip00013,day2,2,attraction00013
trip00013,day2,3,attraction00040
trip00013,day2,4,restaurant01273
trip00013,day2,5,restaurant01145
trip00013,day2,6,attraction00033
trip00013,day2,7,hotel01834
trip00013,day3,1,hotel01834
trip00013,day3,2,restaurant01098
trip00013,day3,3,restaurant01132
trip00013,day3,4,attraction00019
trip00013,day3,5,attraction00002
trip00013,day3,6,attraction00047
trip00013,day3,7,restaurant01709
trip00013,day3,8,hotel01834
trip00014,day1,1,hotel01834
trip00014,day1,2,attraction00024
trip00014,day1,3,attraction00027
trip00014,day1,4,restaurant01138
trip00014,day1,5,restaurant01722
trip00014,day1,6,attraction00050
trip00014,day1,7,hotel01834
trip00014,day2,1,hotel01834
trip00014,day2,2,attraction00030
trip00014,day2,3,attraction00022
trip00014,day2,4,attraction00018
trip00014,day2,5,restaurant01124
trip00014,day2,6,hotel01834
trip00014,day3,1,hotel01834
trip00014,day3,2,restaurant01148
trip00014,day3,3,restaurant01140
trip00014,day3,4,restaurant01245
trip00014,day3,5,restaurant01704
trip00014,day3,6,attraction00026
trip00014,day3,7,hotel01834
trip00015,day1,1,hotel01824
trip00015,day1,2,restaurant01279
trip00015,day1,3,restaurant01723
trip00015,day1,4,restaurant01712
trip00015,day1,5,restaurant01121
trip00015,day1,6,attraction00030
trip00015,day1,7,hotel01824
trip00015,day2,1,hotel01824
trip00015,day2,2,attraction00003
trip00015,day2,3,attraction00036
trip00015,day2,4,restaurant01102
trip00015,day2,5,restaurant01104
trip00015,day2,6,restaurant01152
trip00015,day2,7,restaurant01115
trip00015,day2,8,hotel01824
trip00015,day3,1,hotel01824
trip00015,day3,2,restaurant01281
trip00015,day3,3,attraction00024
trip00015,day3,4,attraction00018
trip00015,day3,5,attraction00042
trip00015,day3,6,attraction00001
trip00015,day3,7,restaurant01157
trip00015,day3,8,hotel01824
trip00016,day1,1,hotel01823
trip00016,day1,2,attraction00015
trip00016,day1,3,restaurant01699
trip00016,day1,4,attraction00032
trip00016,day1,5,attraction00013
trip00016,day1,6,attraction00039
trip00016,day1,7,restaurant01135
trip00016,day1,8,hotel01823
trip00016,day2,1,hotel01823
trip00016,day2,2,attraction00044
trip00016,day2,3,restaurant01712
trip00016,day2,4,attraction00035
trip00016,day2,5,attraction00021
trip00016,day2,6,attraction00004
trip00016,day2,7,attraction00535
trip00016,day2,8,hotel01823
trip00016,day3,1,hotel01823
trip00016,day3,2,attraction00007
trip00016,day3,3,restaurant01120
trip00016,day3,4,attraction00019
trip00016,day3,5,restaurant01129
trip00016,day3,6,attraction00030
trip00016,day3,7,restaurant01714
trip00016,day3,8,hotel01823
trip00016,day4,1,hotel01823
trip00016,day4,2,restaurant01118
trip00016,day4,3,restaurant01103
trip00016,day4,4,attraction00009
trip00016,day4,5,restaurant01719
trip00016,day4,6,restaurant01717
trip00016,day4,7,hotel01823
trip00017,day1,1,hotel01836
trip00017,day1,2,attraction00004
trip00017,day1,3,attraction00012
trip00017,day1,4,restaurant01699
trip00017,day1,5,attraction00007
trip00017,day1,6,restaurant01141
trip00017,day1,7,hotel01836
trip00017,day2,1,hotel01836
trip00017,day2,2,restaurant01131
trip00017,day2,3,attraction00045
trip00017,day2,4,restaurant01161
trip00017,day2,5,attraction00011
trip00017,day2,6,restaurant01127
trip00017,day2,7,restaurant01144
trip00017,day2,8,hotel01836
trip00017,day3,1,hotel01836
trip00017,day3,2,restaurant01102
trip00017,day3,3,restaurant01716
trip00017,day3,4,attraction00039
trip00017,day3,5,restaurant01152
trip00017,day3,6,hotel01836
trip00018,day1,1,hotel01833
trip00018,day1,2,attraction00044
trip00018,day1,3,restaurant01708
trip00018,day1,4,restaurant01716
trip00018,day1,5,restaurant01719
trip00018,day1,6,attraction00049
trip00018,day1,7,hotel01833
trip00018,day2,1,hotel01833
trip00018,day2,2,restaurant01696
trip00018,day2,3,attraction00030
trip00018,day2,4,restaurant01114
trip00018,day2,5,attraction00024
trip00018,day2,6,hotel01833
trip00018,day3,1,hotel01833
trip00018,day3,2,restaurant01153
trip00018,day3,3,attraction00050
trip00018,day3,4,restaurant01123
trip00018,day3,5,attraction00019
trip00018,day3,6,hotel01833
trip00019,day1,1,hotel01880
trip00019,day1,2,attraction00011
trip00019,day1,3,restaurant01143
trip00019,day1,4,attraction00037
trip00019,day1,5,attraction00038
trip00019,day1,6,restaurant01718
trip00019,day1,7,hotel01880
trip00019,day2,1,hotel01880
trip00019,day2,2,restaurant01095
trip00019,day2,3,restaurant01274
trip00019,day2,4,restaurant01150
trip00019,day2,5,attraction00051
trip00019,day2,6,hotel01880
trip00019,day3,1,hotel01880
trip00019,day3,2,attraction00015
trip00019,day3,3,restaurant01713
trip00019,day3,4,restaurant01160
trip00019,day3,5,attraction00049
trip00019,day3,6,hotel01880
trip00019,day4,1,hotel01880
trip00019,day4,2,attraction00008
trip00019,day4,3,restaurant01281
trip00019,day4,4,attraction00050
trip00019,day4,5,attraction00535
trip00019,day4,6,hotel01880
trip00020,day1,1,hotel01819
trip00020,day1,2,attraction00011
trip00020,day1,3,restaurant01123
trip00020,day1,4,restaurant01145
trip00020,day1,5,attraction00007
trip00020,day1,6,restaurant01151
trip00020,day1,7,hotel01819
trip00020,day2,1,hotel01819
trip00020,day2,2,attraction00001
trip00020,day2,3,restaurant01719
trip00020,day2,4,restaurant01707
trip00020,day2,5,attraction00012
trip00020,day2,6,hotel01819
trip00021,day1,1,hotel01885
trip00021,day1,2,attraction00007
trip00021,day1,3,restaurant01718
trip00021,day1,4,restaurant01107
trip00021,day1,5,restaurant01723
trip00021,day1,6,hotel01885
trip00022,day1,1,hotel01885
trip00022,day1,2,attraction00020
trip00022,day1,3,attraction00012
trip00022,day1,4,attraction00050
trip00022,day1,5,attraction00004
trip00022,day1,6,restaurant01232
trip00022,day1,7,attraction00006
trip00022,day1,8,restaurant01274
trip00022,day1,9,hotel01885
trip00022,day2,1,hotel01885
trip00022,day2,2,attraction00030
trip00022,day2,3,attraction00038
trip00022,day2,4,restaurant01264
trip00022,day2,5,attraction00035
trip00022,day2,6,attraction00043
trip00022,day2,7,restaurant01102
trip00022,day2,8,attraction00014
trip00022,day2,9,hotel01885
trip00022,day3,1,hotel01885
trip00022,day3,2,attraction00544
trip00022,day3,3,attraction00009
trip00022,day3,4,attraction00047
trip00022,day3,5,attraction00029
trip00022,day3,6,restaurant01111
trip00022,day3,7,hotel01885
trip00022,day4,1,hotel01885
trip00022,day4,2,attraction00040
trip00022,day4,3,restaurant01264
trip00022,day4,4,restaurant01724
trip00022,day4,5,restaurant01124
trip00022,day4,6,restaurant01124
trip00022,day4,7,hotel01885
trip00023,day1,1,hotel01836
trip00023,day1,2,restaurant01148
trip00023,day1,3,restaurant01139
trip00023,day1,4,attraction00009
trip00023,day1,5,attraction00010
trip00023,day1,6,restaurant01713
trip00023,day1,7,attraction00006
trip00023,day1,8,hotel01836
trip00023,day2,1,hotel01836
trip00023,day2,2,restaurant01264
trip00023,day2,3,restaurant01266
trip00023,day2,4,restaurant01723
trip00023,day2,5,attraction00012
trip00023,day2,6,hotel01836
trip00024,day1,1,hotel01886
trip00024,day1,2,restaurant01108
trip00024,day1,3,attraction00535
trip00024,day1,4,attraction00544
trip00024,day1,5,restaurant01255
trip00024,day1,6,attraction00016
trip00024,day1,7,hotel01886
trip00024,day2,1,hotel01886
trip00024,day2,2,attraction00033
trip00024,day2,3,restaurant01140
trip00024,day2,4,restaurant01131
trip00024,day2,5,attraction00004
trip00024,day2,6,restaurant01106
trip00024,day2,7,attraction00045
trip00024,day2,8,hotel01886
trip00024,day3,1,hotel01886
trip00024,day3,2,restaurant01279
trip00024,day3,3,attraction00038
trip00024,day3,4,attraction00020
trip00024,day3,5,attraction00029
trip00024,day3,6,hotel01886
trip00025,day1,1,hotel01831
trip00025,day1,2,attraction00044
trip00025,day1,3,restaurant01708
trip00025,day1,4,attraction00005
trip00025,day1,5,restaurant01097
trip00025,day1,6,hotel01831
trip00025,day2,1,hotel01831
trip00025,day2,2,restaurant01698
trip00025,day2,3,attraction00022
trip00025,day2,4,attraction00025
trip00025,day2,5,attraction00013
trip00025,day2,6,hotel01831
trip00025,day3,1,hotel01831
trip00025,day3,2,attraction00009
trip00025,day3,3,restaurant01706
trip00025,day3,4,restaurant01137
trip00025,day3,5,attraction00024
trip00025,day3,6,hotel01831
trip00025,day4,1,hotel01831
trip00025,day4,2,restaurant01097
trip00025,day4,3,attraction00003
trip00025,day4,4,restaurant01709
trip00025,day4,5,attraction00038
trip00025,day4,6,restaurant01150
trip00025,day4,7,hotel01831
trip00026,day1,1,hotel01880
trip00026,day1,2,attraction00015
trip00026,day1,3,attraction00022
trip00026,day1,4,attraction00027
trip00026,day1,5,restaurant01152
trip00026,day1,6,attraction00024
trip00026,day1,7,attraction00004
trip00026,day1,8,hotel01880
trip00026,day2,1,hotel01880
trip00026,day2,2,restaurant01102
trip00026,day2,3,attraction00039
trip00026,day2,4,attraction00006
trip00026,day2,5,restaurant01095
trip00026,day2,6,restaurant01699
trip00026,day2,7,hotel01880
trip00026,day3,1,hotel01880
trip00026,day3,2,attraction00008
trip00026,day3,3,restaurant01275
trip00026,day3,4,attraction00017
trip00026,day3,5,restaurant01141
trip00026,day3,6,attraction00051
trip00026,day3,7,hotel01880
trip00026,day4,1,hotel01880
trip00026,day4,2,attraction00009
trip00026,day4,3,restaurant01136
trip00026,day4,4,attraction00011
trip00026,day4,5,restaurant01159
trip00026,day4,6,attraction00002
trip00026,day4,7,hotel01880
trip00027,day1,1,hotel01831
trip00027,day1,2,restaurant01135
trip00027,day1,3,restaurant01113
trip00027,day1,4,attraction00009
trip00027,day1,5,attraction00017
trip00027,day1,6,hotel01831
trip00027,day2,1,hotel01831
trip00027,day2,2,restaurant01712
trip00027,day2,3,attraction00030
trip00027,day2,4,attraction00005
trip00027,day2,5,restaurant01127
trip00027,day2,6,restaurant01095
trip00027,day2,7,hotel01831
trip00028,day1,1,hotel01819
trip00028,day1,2,attraction00049
trip00028,day1,3,attraction00006
trip00028,day1,4,restaurant01140
trip00028,day1,5,attraction00038
trip00028,day1,6,restaurant01128
trip00028,day1,7,hotel01819
trip00029,day1,1,hotel01828
trip00029,day1,2,attraction00045
trip00029,day1,3,restaurant01696
trip00029,day1,4,restaurant01142
trip00029,day1,5,attraction00002
trip00029,day1,6,restaurant01147
trip00029,day1,7,hotel01828
trip00029,day2,1,hotel01828
trip00029,day2,2,attraction00015
trip00029,day2,3,restaurant01104
trip00029,day2,4,attraction00018
trip00029,day2,5,restaurant01102
trip00029,day2,6,attraction00001
trip00029,day2,7,attraction00026
trip00029,day2,8,attraction00030
trip00029,day2,9,hotel01828
trip00029,day3,1,hotel01828
trip00029,day3,2,attraction00040
trip00029,day3,3,attraction00012
trip00029,day3,4,restaurant01232
trip00029,day3,5,restaurant01267
trip00029,day3,6,hotel01828
trip00029,day4,1,hotel01828
trip00029,day4,2,attraction00027
trip00029,day4,3,restaurant01151
trip00029,day4,4,attraction00019
trip00029,day4,5,attraction00005
trip00029,day4,6,attraction00016
trip00029,day4,7,attraction00050
trip00029,day4,8,hotel01828
trip00030,day1,1,hotel01880
trip00030,day1,2,restaurant01278
trip00030,day1,3,attraction00535
trip00030,day1,4,restaurant01275
trip00030,day1,5,attraction00012
trip00030,day1,6,attraction00032
trip00030,day1,7,attraction00025
trip00030,day1,8,hotel01880
trip00031,day1,1,hotel01873
trip00031,day1,2,restaurant01266
trip00031,day1,3,restaurant01108
trip00031,day1,4,attraction00022
trip00031,day1,5,attraction00037
trip00031,day1,6,restaurant01129
trip00031,day1,7,attraction00024
trip00031,day1,8,hotel01873
trip00032,day1,1,hotel01878
trip00032,day1,2,restaurant01110
trip00032,day1,3,attraction00050
trip00032,day1,4,restaurant01132
trip00032,day1,5,restaurant01154
trip00032,day1,6,hotel01878
trip00032,day2,1,hotel01878
trip00032,day2,2,restaurant01722
trip00032,day2,3,attraction00023
trip00032,day2,4,restaurant01141
trip00032,day2,5,restaurant01147
trip00032,day2,6,restaurant01723
trip00032,day2,7,attraction00002
trip00032,day2,8,hotel01878
trip00033,day1,1,hotel01826
trip00033,day1,2,attraction00016
trip00033,day1,3,restaurant01132
trip00033,day1,4,restaurant01144
trip00033,day1,5,restaurant01274
trip00033,day1,6,restaurant01117
trip00033,day1,7,hotel01826
trip00033,day2,1,hotel01826
trip00033,day2,2,attraction00025
trip00033,day2,3,attraction00038
trip00033,day2,4,restaurant01098
trip00033,day2,5,restaurant01281
trip00033,day2,6,attraction00050
trip00033,day2,7,hotel01826
trip00033,day3,1,hotel01826
trip00033,day3,2,attraction00001
trip00033,day3,3,attraction00051
trip00033,day3,4,attraction00047
trip00033,day3,5,restaurant01107
trip00033,day3,6,attraction00026
trip00033,day3,7,attraction00012
trip00033,day3,8,hotel01826
trip00033,day4,1,hotel01826
trip00033,day4,2,attraction00035
trip00033,day4,3,restaurant01127
trip00033,day4,4,attraction00019
trip00033,day4,5,attraction00037
trip00033,day4,6,attraction00040
trip00033,day4,7,hotel01826
trip00034,day1,1,hotel01838
trip00034,day1,2,restaurant01252
trip00034,day1,3,restaurant01703
trip00034,day1,4,restaurant01155
trip00034,day1,5,attraction00040
trip00034,day1,6,hotel01838
trip00035,day1,1,hotel01820
trip00035,day1,2,attraction00009
trip00035,day1,3,attraction00012
trip00035,day1,4,restaurant01110
trip00035,day1,5,restaurant01129
trip00035,day1,6,restaurant01238
trip00035,day1,7,attraction00043
trip00035,day1,8,hotel01820
trip00035,day2,1,hotel01820
trip00035,day2,2,restaurant01715
trip00035,day2,3,restaurant01232
trip00035,day2,4,restaurant01147
trip00035,day2,5,attraction00002
trip00035,day2,6,restaurant01159
trip00035,day2,7,hotel01820
trip00035,day3,1,hotel01820
trip00035,day3,2,restaurant01699
trip00035,day3,3,attraction00018
trip00035,day3,4,attraction00013
trip00035,day3,5,restaurant01134
trip00035,day3,6,hotel01820
trip00036,day1,1,hotel01886
trip00036,day1,2,restaurant01720
trip00036,day1,3,attraction00007
trip00036,day1,4,restaurant01103
trip00036,day1,5,restaurant01135
trip00036,day1,6,restaurant01709
trip00036,day1,7,hotel01886
trip00036,day2,1,hotel01886
trip00036,day2,2,restaurant01704
trip00036,day2,3,restaurant01153
trip00036,day2,4,attraction00043
trip00036,day2,5,restaurant01109
trip00036,day2,6,hotel01886
trip00037,day1,1,hotel01883
trip00037,day1,2,attraction00018
trip00037,day1,3,attraction00017
trip00037,day1,4,attraction00027
trip00037,day1,5,restaurant01239
trip00037,day1,6,attraction00043
trip00037,day1,7,hotel01883
trip00037,day2,1,hotel01883
trip00037,day2,2,attraction00007
trip00037,day2,3,attraction00042
trip00037,day2,4,attraction00038
trip00037,day2,5,attraction00002
trip00037,day2,6,restaurant01158
trip00037,day2,7,attraction00035
trip00037,day2,8,restaurant01238
trip00037,day2,9,hotel01883
trip00038,day1,1,hotel01839
trip00038,day1,2,attraction00023
trip00038,day1,3,restaurant01229
trip00038,day1,4,attraction00020
trip00038,day1,5,restaurant01279
trip00038,day1,6,attraction00005
trip00038,day1,7,restaurant01141
trip00038,day1,8,hotel01839
trip00038,day2,1,hotel01839
trip00038,day2,2,restaurant01229
trip00038,day2,3,restaurant01103
trip00038,day2,4,attraction00032
trip00038,day2,5,attraction00026
trip00038,day2,6,attraction00006
trip00038,day2,7,attraction00013
trip00038,day2,8,hotel01839
trip00038,day3,1,hotel01839
trip00038,day3,2,attraction00019
trip00038,day3,3,restaurant01704
trip00038,day3,4,restaurant01118
trip00038,day3,5,restaurant01108
trip00038,day3,6,attraction00012
trip00038,day3,7,hotel01839
trip00039,day1,1,hotel01823
trip00039,day1,2,restaurant01120
trip00039,day1,3,restaurant01127
trip00039,day1,4,attraction00544
trip00039,day1,5,attraction00036
trip00039,day1,6,restaurant01718
trip00039,day1,7,hotel01823
trip00039,day2,1,hotel01823
trip00039,day2,2,attraction00001
trip00039,day2,3,restaurant01128
trip00039,day2,4,restaurant01135
trip00039,day2,5,attraction00038
trip00039,day2,6,attraction00025
trip00039,day2,7,hotel01823
trip00039,day3,1,hotel01823
trip00039,day3,2,restaurant01160
trip00039,day3,3,attraction00024
trip00039,day3,4,attraction00042
trip00039,day3,5,attraction00029
trip00039,day3,6,attraction00021
trip00039,day3,7,hotel01823
trip00039,day4,1,hotel01823
trip00039,day4,2,restaurant01141
trip00039,day4,3,restaurant01161
trip00039,day4,4,attraction00041
trip00039,day4,5,restaurant01158
trip00039,day4,6,restaurant01252
trip00039,day4,7,hotel01823
trip00040,day1,1,hotel01836
trip00040,day1,2,restaurant01143
trip00040,day1,3,restaurant01115
trip00040,day1,4,restaurant01708
trip00040,day1,5,restaurant01161
trip00040,day1,6,attraction00037
trip00040,day1,7,hotel01836
trip00041,day1,1,hotel01817
trip00041,day1,2,attraction00544
trip00041,day1,3,attraction00006
trip00041,day1,4,restaurant01129
trip00041,day1,5,attraction00003
trip00041,day1,6,restaurant01106
trip00041,day1,7,hotel01817
trip00041,day2,1,hotel01817
trip00041,day2,2,restaurant01133
trip00041,day2,3,restaurant01152
trip00041,day2,4,restaurant01274
trip00041,day2,5,attraction00027
trip00041,day2,6,restaurant01099
trip00041,day2,7,hotel01817
trip00042,day1,1,hotel01889
trip00042,day1,2,attraction00037
trip00042,day1,3,restaurant01138
trip00042,day1,4,restaurant01705
trip00042,day1,5,attraction00015
trip00042,day1,6,attraction00051
trip00042,day1,7,hotel01889
trip00042,day2,1,hotel01889
trip00042,day2,2,attraction00029
trip00042,day2,3,attraction00020
trip00042,day2,4,restaurant01266
trip00042,day2,5,attraction00006
trip00042,day2,6,restaurant01124
trip00042,day2,7,hotel01889
trip00043,day1,1,hotel01882
trip00043,day1,2,restaurant01097
trip00043,day1,3,restaurant01279
trip00043,day1,4,restaurant01267
trip00043,day1,5,restaurant01102
trip00043,day1,6,attraction00024
trip00043,day1,7,hotel01882
trip00043,day2,1,hotel01882
trip00043,day2,2,restaurant01152
trip00043,day2,3,attraction00036
trip00043,day2,4,restaurant01147
trip00043,day2,5,attraction00012
trip00043,day2,6,restaurant01705
trip00043,day2,7,hotel01882
trip00043,day3,1,hotel01882
trip00043,day3,2,restaurant01152
trip00043,day3,3,attraction00045
trip00043,day3,4,restaurant01131
trip00043,day3,5,attraction00014
trip00043,day3,6,attraction00017
trip00043,day3,7,hotel01882
trip00044,day1,1,hotel01817
trip00044,day1,2,attraction00033
trip00044,day1,3,attraction00035
trip00044,day1,4,restaurant01128
trip00044,day1,5,attraction00020
trip00044,day1,6,attraction00040
trip00044,day1,7,attraction00051
trip00044,day1,8,hotel01817
trip00044,day2,1,hotel01817
trip00044,day2,2,attraction00005
trip00044,day2,3,restaurant01120
trip00044,day2,4,restaurant01140
trip00044,day2,5,attraction00050
trip00044,day2,6,restaurant01702
trip00044,day2,7,hotel01817
trip00045,day1,1,hotel01828
trip00045,day1,2,attraction00535
trip00045,day1,3,attraction00016
trip00045,day1,4,attraction00001
trip00045,day1,5,restaurant01127
trip00045,day1,6,hotel01828
trip00045,day2,1,hotel01828
trip00045,day2,2,restaurant01100
trip00045,day2,3,attraction00037
trip00045,day2,4,attraction00004
trip00045,day2,5,attraction00018
trip00045,day2,6,hotel01828
trip00046,day1,1,hotel01821
trip00046,day1,2,attraction00036
trip00046,day1,3,restaurant01159
trip00046,day1,4,restaurant01239
trip00046,day1,5,attraction00023
trip00046,day1,6,attraction00014
trip00046,day1,7,hotel01821
trip00047,day1,1,hotel01888
trip00047,day1,2,attraction00535
trip00047,day1,3,restaurant01141
trip00047,day1,4,attraction00011
trip00047,day1,5,restaurant01153
trip00047,day1,6,attraction00022
trip00047,day1,7,restaurant01232
trip00047,day1,8,hotel01888
trip00048,day1,1,hotel01880
trip00048,day1,2,restaurant01123
trip00048,day1,3,restaurant01118
trip00048,day1,4,attraction00037
trip00048,day1,5,restaurant01153
trip00048,day1,6,attraction00544
trip00048,day1,7,hotel01880
trip00048,day2,1,hotel01880
trip00048,day2,2,attraction00016
trip00048,day2,3,restaurant01278
trip00048,day2,4,restaurant01132
trip00048,day2,5,attraction00044
trip00048,day2,6,hotel01880
