poi_id,name,name_norm,place_suffix,address,city,city_norm,latitude,longitude,phone,price,price_text,rating,type,category,url,website
attraction00011,Grass Square,grass,square,"26RF+45R, 30 Tháng 4, Hoà Cường Bắc, Hải Châu, Đà Nẵng",Đà Nẵng,da nang,16.0403618,108.2228858,,0,,3.8,Entertainment,Attraction,https://www.google.com/maps/place/Grass+Square/data=!4m7!3m6!1s0x314219850da3bea5:0x812ca4275d834f29!8m2!3d16.0403618!4d108.2228858!16s%2Fg%2F11gxhrw1zh!19sChIJpb6jDYUZQjERKU-DXSekLIE?authuser=0&hl=en&rclk=1,
attraction00012,Ho Chi Minh Museum,chi minh museum,lake,"26X9+F2G, Duy Tân, Hoà Cường Bắc, Hải Châu, Đà Nẵng 550000",Đà Nẵng,da nang,16.0486814,108.217581,024 3845 5435 ,40000,₫40000,4.3,Historical,Attraction,https://www.google.com/maps/place/Ho+Chi+Minh+Museum/data=!4m7!3m6!1s0x314219c69cf3c7a3:0x2927993f5153d336!8m2!3d16.0486814!4d108.217581!16s%2Fm%2F011py73s!19sChIJo8fznMYZQjERNtNTUT-ZJyk?authuser=0&hl=en&rclk=1,http://baotanghochiminh.vn/
attraction00013,Golden Bridge,gol bridge,temple,"XXVW+XJ, Hòa Vang, Đà Nẵng",Đà Nẵng,da nang,15.9949375,107.9965625,,950000,₫950000,4.6,Entertainment,Attraction,https://www.google.com/maps/place/Golden+Bridge/data=!4m7!3m6!1s0x3141f73d19c5d38f:0x63766c11470ab50d!8m2!3d15.9949375!4d107.9965625!16s%2Fg%2F11f7r5z2l1!19sChIJj9PFGT33QTERDbUKRxFsdmM?authuser=0&hl=en&rclk=1,https://www.ticketcheap.shop/banahills
attraction00014,Ba Na Hills,ba na hills,,"Thôn An Sơn, Hòa Vang, Da Nang",Da Nang,da nang,15.9951364,107.9961392,,911400,₫911400,4.4,Entertainment,Attraction,https://www.google.com/maps/place/Ba+Na+Hills/data=!4m7!3m6!1s0x3141f7b5026661c9:0x847bab3e51ad7ea2!8m2!3d15.9951364!4d107.9961392!16s%2Fm%2F0gfdsrk!19sChIJyWFmArX3QTERon6tUT6re4Q?authuser=0&hl=en&rclk=1,https://www.ticketcheap.shop/banahills
attraction00015,APEC Park,apec,park,"Phước Ninh, Hải Châu District, Da Nang 550000",Da Nang,da nang,16.0581055,108.2232435,,974025,₫974025,4.4,Natural,Attraction,https://www.google.com/maps/place/APEC+Park/data=!4m7!3m6!1s0x31421930165d7dcd:0xf9d555ad7f300ab3!8m2!3d16.0581055!4d108.2232435!16s%2Fg%2F11ptzzkgk7!19sChIJzX1dFjAZQjERswowf61V1fk?authuser=0&hl=en&rclk=1,
attraction00016,Danang Fine Arts Museum,danang fine arts,museum,"78 Lê Duẩn, Thạch Thang, Hải Châu, Đà Nẵng 550000",Đà Nẵng,da nang,16.0711877,108.2179411,0236 3865 663 ,0,,4.5,Historical,Attraction,https://www.google.com/maps/place/Danang+Fine+Arts+Museum/data=!4m7!3m6!1s0x314218368e61cbef:0xf1549bd773be2c92!8m2!3d16.0711877!4d108.2179411!16s%2Fg%2F11c1nvrp3j!19sChIJ78thjjYYQjERkiy-c9ebVPE?authuser=0&hl=en&rclk=1,http://dnfam.vn/
attraction00017,Dragon fire show,dragon fire sw,lake,"99 Ngô Thì Sĩ, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 50000",Đà Nẵng,da nang,16.0478948,108.2457602,0338 486 123 ,0,,4.1,Entertainment,Attraction,https://www.google.com/maps/place/Dragon+fire+show/data=!4m7!3m6!1s0x31421937a951d293:0x1fe1058442f3f052!8m2!3d16.0478948!4d108.2457602!16s%2Fg%2F11sv1269z8!19sChIJk9JRqTcZQjERUvDzQoQF4R8?authuser=0&hl=en&rclk=1,https://www.facebook.com/mmfloraldanang?locale=vi_VN
attraction00018,Đà Nẵng Museum,da nang,museum,"31 Trần Phú, P, Hải Châu, Đà Nẵng 550000",Đà Nẵng,da nang,16.0745542,108.2239668,0236 3886 236 ,50000,₫50000,4.2,Historical,Attraction,https://www.google.com/maps/place/%C4%90%C3%A0+N%E1%BA%B5ng+Museum/data=!4m7!3m6!1s0x3142183691882913:0xc9180a3982a9ef58!8m2!3d16.0745542!4d108.2239668!16s%2Fg%2F1tlwc3mc!19sChIJEymIkTYYQjERWO-pgjkKGMk?authuser=0&hl=en&rclk=1,http://baotangdanang.vn/
attraction00019,Ban Co Peak,ban co peak,market,"Bàn cờ, Thọ Quang, Sơn Trà, Đà Nẵng",Đà Nẵng,da nang,16.1189365,108.2719826,,1518895,₫1518895,4.6,Entertainment,Attraction,https://www.google.com/maps/place/Ban+Co+Peak/data=!4m7!3m6!1s0x31423d6e34ee0105:0x69e23a6263ffc6ec!8m2!3d16.1189365!4d108.2719826!16s%2Fg%2F11bbwpgtdk!19sChIJBQHuNG49QjER7Mb_Y2I64mk?authuser=0&hl=en&rclk=1,
attraction00020,Wonder Park - Wyndham Danang Golden Bay Hotel,wonder park wyndham danang golden bay,hotel,"01 Lê Văn Duyệt, Nại Hiên Đông, Sơn Trà, Đà Nẵng 590000",Đà Nẵng,da nang,16.0988248,108.224412,0236 3878 999 ,2693998,₫2693998,4.4,Natural,Attraction,https://www.google.com/maps/place/Wonder+Park+-+Wyndham+Danang+Golden+Bay+Hotel/data=!4m7!3m6!1s0x3142198d74e5a281:0x24e8ff134e9f0079!8m2!3d16.0988248!4d108.224412!16s%2Fg%2F11g088rcwq!19sChIJgaLldI0ZQjEReQCfThP_6CQ?authuser=0&hl=en&rclk=1,https://dananggoldenbay.com/service/wonder-park/
attraction00021,Chùa Pháp Lâm,phap lam,pagoda,"574 Ông Ích Khiêm, Phước Ninh, Hải Châu, Đà Nẵng 550000",Đà Nẵng,da nang,16.0622908,108.2155449,,3185325,₫3185325,4.6,Cultural,Attraction,https://www.google.com/maps/place/Ch%C3%B9a+Ph%C3%A1p+L%C3%A2m/data=!4m7!3m6!1s0x314219ca8c953493:0xde2a6675135be7c1!8m2!3d16.0622908!4d108.2155449!16s%2Fm%2F0k9s99t!19sChIJkzSVjMoZQjERwedbE3VmKt4?authuser=0&hl=en&rclk=1,
attraction00022,Fantasy Park,fantasy,park,"Hoà Phú, Hòa Vang, Da Nang",Da Nang,da nang,15.9972041,107.988763,,552825,₫552825,4.4,Natural,Attraction,https://www.google.com/maps/place/Fantasy+Park/data=!4m7!3m6!1s0x3141f6fcd2ca1de9:0x8ab7af426e736a44!8m2!3d15.9972041!4d107.988763!16s%2Fg%2F11f3qs35jx!19sChIJ6R3K0vz2QTERRGpzbkKvt4o?authuser=0&hl=en&rclk=1,https://ticket-stations.com/ba-na-hills-ticket-da-nang
attraction00023,The Monkey Mountain,the monkey,mountain,"478F+98W, Thọ Quang, Sơn Trà, Đà Nẵng",Đà Nẵng,da nang,16.1159837,108.273341,,0,,4.4,Natural,Attraction,https://www.google.com/maps/place/The+Monkey+Mountain/data=!4m7!3m6!1s0x31423df9a0e80d5b:0xc293c9e3814d144e!8m2!3d16.1159837!4d108.273341!16s%2Fg%2F11fqj3p3t5!19sChIJWw3ooPk9QjERThRNgePJk8I?authuser=0&hl=en&rclk=1,
attraction00024,Le Petit Chef - Danang,le petit chef danang,,"5 Trường Sa, Street, Ngũ Hành Sơn, Đà Nẵng 550000",Đà Nẵng,da nang,16.012783,108.263332,0236 3981 234 ,0,,4.5,Entertainment,Attraction,https://www.google.com/maps/place/Le+Petit+Chef+-+Danang/data=!4m7!3m6!1s0x314211c1ca2a9909:0xe9455cc176f3697e!8m2!3d16.012783!4d108.263332!16s%2Fg%2F11vjpgp0h0!19sChIJCZkqysERQjERfmnzdsFcRek?authuser=0&hl=en&rclk=1,https://lepetitchef.com/danang
attraction00025,Sun Wheel,sun wheel,,"1 Phan Đăng Lưu, Hoà Cường Bắc, Hải Châu, Đà Nẵng",Đà Nẵng,da nang,16.0401624,108.2285171,,135000,₫135000,4.5,Entertainment,Attraction,https://www.google.com/maps/place/Sun+Wheel/data=!4m7!3m6!1s0x314219e774acfaf5:0xd61e377c100cc265!8m2!3d16.0401624!4d108.2285171!16s%2Fg%2F11bbwn9bzd!19sChIJ9fqsdOcZQjERZcIMEHw3HtY?authuser=0&hl=en&rclk=1,http://ticketdulich.com/asia-park
attraction00026,Dong Dinh Museum,dong dinh,museum,"Hoàng Sa, Thọ Quang, Sơn Trà, Đà Nẵng",Đà Nẵng,da nang,16.1011538,108.2753793,0901 137 111 ,35000,₫35000,4.1,Historical,Attraction,https://www.google.com/maps/place/Dong+Dinh+Museum/data=!4m7!3m6!1s0x314217d700e5ae69:0xe0ee545e81e43d99!8m2!3d16.1011538!4d108.2753793!16s%2Fg%2F11cjznqrp6!19sChIJaa7lANcXQjERmT3kgV5U7uA?authuser=0&hl=en&rclk=1,http://dongdinhmuseum.vn/
attraction00027,박당 거리,bagdang geori,,"7-44 Bạch Đằng, Hải Châu, Đà Nẵng 550000",Đà Nẵng,da nang,16.0733818,108.2247473,,0,,4.0,Entertainment,Attraction,https://www.google.com/maps/place/%EB%B0%95%EB%8B%B9+%EA%B1%B0%EB%A6%AC/data=!4m7!3m6!1s0x314219a84c533981:0xeba684dea905acb7!8m2!3d16.0733818!4d108.2247473!16s%2Fg%2F11h287zz3d!19sChIJgTlTTKgZQjERt6wFqd6Epus?authuser=0&hl=en&rclk=1,
attraction00028,Thanh Hà Terracotta Park,thanh ha terracotta,park,"Khối Nam Diêu Duy Tân, Thanh Hà, Hội An, Quảng Nam",Hội An,hoi an,15.8778859,108.3001023,0235 3963 888 ,50000,₫50000,4.1,Natural,Attraction,https://www.google.com/maps/place/Thanh+H%C3%A0+Terracotta+Park/data=!4m7!3m6!1s0x31420e5f32af2c31:0xa80391de731b1be8!8m2!3d15.8778859!4d108.3001023!16s%2Fg%2F11c3k541fv!19sChIJMSyvMl8OQjER6Bsbc96RA6g?authuser=0&hl=en&rclk=1,http://thanhhaterracotta.com/
attraction00029,Han Market,han,market,"119 Trần Phú, Hải Châu, Đà Nẵng 550000",Đà Nẵng,da nang,16.0681959,108.2242217,,70000,₫70000,3.9,Shopping,Attraction,https://www.google.com/maps/place/Han+Market/data=!4m7!3m6!1s0x31421832397ecc0d:0x90b24f8b8cb2873f!8m2!3d16.0681959!4d108.2242217!16s%2Fg%2F11fwjy0k_q!19sChIJDcx-OTIYQjERP4eyjItPspA?authuser=0&hl=en&rclk=1,http://ticketdulich.com/bana-hills
attraction00030,Mikazuki Water Park 365,mikazuki water 365,park,"Khu du lịch Xuân Thiều, Nguyễn Tất Thành, Hoà Hiệp Nam, Liên Chiểu, Đà Nẵng 55000",Đà Nẵng,da nang,16.0921811,108.1441576,0236 3774 555 ,309000,₫309000,4.2,Natural,Attraction,https://www.google.com/maps/place/Mikazuki+Water+Park+365/data=!4m7!3m6!1s0x31421991a401ca65:0xae18cd4b35f842b5!8m2!3d16.0921811!4d108.1441576!16s%2Fg%2F11qpt4zjg9!19sChIJZcoBpJEZQjERtUL4NUvNGK4?authuser=0&hl=en&rclk=1,https://www.mikazukiwaterpark.com/
attraction00031,Museum of Folk Culture,of folk culture,museum,"33 Nguyễn Thái Học, Phường Minh An, Hội An, Quảng Nam",Hội An,hoi an,15.8765833,108.3298399,0235 3910 948 ,1700000,₫1700000,4.3,Historical,Attraction,https://www.google.com/maps/place/Museum+of+Folk+Culture/data=!4m7!3m6!1s0x31420e7e551ddfc3:0x6b5df4f6f6573f7a!8m2!3d15.8765833!4d108.3298399!16s%2Fg%2F11btrs3tsv!19sChIJw98dVX4OQjERej9X9vb0XWs?authuser=0&hl=en&rclk=1,
attraction00032,Tượng Cá Chép Hóa Rồng,tuong ca chep a rong,lake,"Đ. Trần Hưng Đạo, An Hải, Sơn Trà, Đà Nẵng 550000",Đà Nẵng,da nang,16.06291,108.229815,,0,,4.5,Entertainment,Attraction,https://www.google.com/maps/place/T%C6%B0%E1%BB%A3ng+C%C3%A1+Ch%C3%A9p+H%C3%B3a+R%E1%BB%93ng/data=!4m7!3m6!1s0x3142198c825000e1:0x9b011fe03c346db3!8m2!3d16.06291!4d108.229815!16s%2Fg%2F11jm2ctf_c!19sChIJ4QBQgowZQjERs200POAfAZs?authuser=0&hl=en&rclk=1,
attraction00033,Da Nang Fresco Village,da nang fresco ge,hotel,"75 Nguyễn Văn Linh, Phước Ninh, Hải Châu, Đà Nẵng 550000",Đà Nẵng,da nang,16.0607296,108.2200532,,1052697,₫1052697,4.0,Entertainment,Attraction,https://www.google.com/maps/place/Da+Nang+Fresco+Village/data=!4m7!3m6!1s0x314219cc7844ab91:0x436db6a820a059c!8m2!3d16.0607296!4d108.2200532!16s%2Fg%2F11hbq9ysf8!19sChIJkatEeMwZQjERnAUKgmrbNgQ?authuser=0&hl=en&rclk=1,
attraction00034,Hội An Night Market,i an night market,lake,"Nguyễn Hoàng, Phường Minh An, Hội An, Quảng Nam",Hội An,hoi an,15.8759693,108.3260184,,1120841,₫1120841,4.4,Shopping,Attraction,https://www.google.com/maps/place/H%E1%BB%99i+An+Night+Market/data=!4m7!3m6!1s0x31420e7dc35f492d:0xa44b01b91d668df!8m2!3d15.8759693!4d108.3260184!16s%2Fg%2F11c5g5kv4y!19sChIJLUlfw30OQjER32jWkRuwRAo?authuser=0&hl=en&rclk=1,https://ticketdulich.com/hoi-an-night
attraction00035,Ghềnh Bàng,ghenh bang,,"Hoàng Sa, Thọ Quang, Sơn Trà, Đà Nẵng",Đà Nẵng,da nang,16.1124336,108.3116322,,0,,4.5,Entertainment,Attraction,https://www.google.com/maps/place/Gh%E1%BB%81nh+B%C3%A0ng/data=!4m7!3m6!1s0x31423df2819c425b:0xfac92c3b7e0f9926!8m2!3d16.1124336!4d108.3116322!16s%2Fg%2F1ptxkl4kn!19sChIJW0KcgfI9QjERJpkPfjssyfo?authuser=0&hl=en&rclk=1,
attraction00036,Đỉnh Thượng Thai,dinh thuong thai,,"2737+P97, Hòn Thủy Sơn, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000",Đà Nẵng,da nang,16.0042806,108.263425,,0,,4.5,Entertainment,Attraction,https://www.google.com/maps/place/%C4%90%E1%BB%89nh+Th%C6%B0%E1%BB%A3ng+Thai/data=!4m7!3m6!1s0x3142112261ecef6b:0x42f38d28acb2e01b!8m2!3d16.0042806!4d108.263425!16s%2Fg%2F11h1fx42tv!19sChIJa-_sYSIRQjERG-CyrCiN80I?authuser=0&hl=en&rclk=1,https://nguhanhson.org/
attraction00037,Marble Mountains Ticket Booth (Gate A1),marble s ticket booth gate a1,mountain,"Hòn Thủy Sơn, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000",Đà Nẵng,da nang,16.0026808,108.2624698,0236 2243 206 ,0,,4.2,Natural,Attraction,https://www.google.com/maps/place/Marble+Mountains+Ticket+Booth+%28Gate+A1%29/data=!4m7!3m6!1s0x3142118de5644c0d:0x13eebb3f19ce7dbd!8m2!3d16.0026808!4d108.2624698!16s%2Fg%2F11sr823wp_!19sChIJDUxk5Y0RQjERvX3OGT-77hM?authuser=0&hl=en&rclk=1,http://www.nguhanhson.org/
attraction00038,Non Nuoc stone carving,non nuoc stone carving,,"160 Nguyễn Duy Trinh, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000",Đà Nẵng,da nang,15.995601,108.263743,0909 860 006 ,1658475,₫1658475,4.4,Entertainment,Attraction,https://www.google.com/maps/place/Non+Nuoc+stone+carving/data=!4m7!3m6!1s0x314210c0f90d0ceb:0xe4178fbac3df17b!8m2!3d15.995601!4d108.263743!16s%2Fg%2F1hhwdw0cp!19sChIJ6wwN-cAQQjERe_E9rPt4QQ4?authuser=0&hl=en&rclk=1,https://nonnuocart.com/
attraction00039,Đỉnh núi Chúa,dinh chua,mountain,"XXXP+27M, Hoà Phú, Hòa Vang, Đà Nẵng",Đà Nẵng,da nang,15.9975929,107.9856799,,0,,4.7,Natural,Attraction,https://www.google.com/maps/place/%C4%90%E1%BB%89nh+n%C3%BAi+Ch%C3%BAa/data=!4m7!3m6!1s0x3141f6e3a7736cf3:0x79f638576c48bb20!8m2!3d15.9975929!4d107.9856799!16s%2Fg%2F11cmgpjnbz!19sChIJ82xzp-P2QTERILtIbFc49nk?authuser=0&hl=en&rclk=1,
attraction00040,Sena Homestay Cầu Rồng Đà Nẵng,sena cau rong da nang,homestay,"K3/12 Hà Thị Thân, An Hải Tây, Sơn Trà, Đà Nẵng 550000",Đà Nẵng,da nang,16.0602297,108.2314934,0905 535 208 ,0,,4.9,Entertainment,Attraction,https://www.google.com/maps/place/Sena+Homestay+C%E1%BA%A7u+R%E1%BB%93ng+%C4%90%C3%A0+N%E1%BA%B5ng/data=!4m7!3m6!1s0x314219d3ed8028df:0x72072341d0e98863!8m2!3d16.0602297!4d108.2314934!16s%2Fg%2F11j347l3kk!19sChIJ3yiA7dMZQjERY4jp0EEjB3I?authuser=0&hl=en&rclk=1,https://www.facebook.com/home.sena
attraction00041,Locked Danang - Escape Room,locked danang escape room,,"122 Lê Quang Đạo, Bắc Mỹ An, Ngũ Hành Sơn, Đà Nẵng 50000",Đà Nẵng,da nang,16.0485214,108.2458984,0934 744 773 ,0,,5.0,Entertainment,Attraction,https://www.google.com/maps/place/Locked+Danang+-+Escape+Room/data=!4m7!3m6!1s0x3142171a0b3e63bd:0x6409c77f8d667686!8m2!3d16.0485214!4d108.2458984!16s%2Fg%2F11y9hy93ms!19sChIJvWM-CxoXQjERhnZmjX_HCWQ?authuser=0&hl=en&rclk=1,https://locked-escaperooms.vn/
attraction00042,Suối Lương - Hai Van Park,suoi luong hai van,park,"Suối Lương, Hoà Hiệp Bắc, Liên Chiểu, Đà Nẵng",Đà Nẵng,da nang,16.1566197,108.1093217,0905 729 455 ,80000,₫80000,4.0,Natural,Attraction,https://www.google.com/maps/place/Su%E1%BB%91i+L%C6%B0%C6%A1ng+-+Hai+Van+Park/data=!4m7!3m6!1s0x314221a5b1f3a2f3:0x26049ed08a3a111b!8m2!3d16.1566197!4d108.1093217!16s%2Fg%2F1thktrhs!19sChIJ86LzsaUhQjERGxE6itCeBCY?authuser=0&hl=en&rclk=1,https://suoiluong.vn/
attraction00043,Bà Nà Hills Golf Club,ba na hills golf club,,"Bà Nà - Suối Mơ, Hòa Vang, Da Nang",Da Nang,da nang,16.0175252,108.0491866,0236 3924 888 ,4117000,₫4117000,4.6,Entertainment,Attraction,https://www.google.com/maps/place/B%C3%A0+N%C3%A0+Hills+Golf+Club/data=!4m7!3m6!1s0x31421df6e3a730bb:0xd899060c1d60086f!8m2!3d16.0175252!4d108.0491866!16s%2Fg%2F11bw7tfzw8!19sChIJuzCn4_YdQjERbwhgHQwGmdg?authuser=0&hl=en&rclk=1,http://banahillsgolf.com/
attraction00044,Legend Danang Golf Resort,legend danang golf,hotel,"Trường Sa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng",Đà Nẵng,da nang,15.9717259,108.2757816,0236 3958 111 ,3450000,₫3450000,4.2,Entertainment,Attraction,https://www.google.com/maps/place/Legend+Danang+Golf+Resort/data=!4m7!3m6!1s0x314210f9acfb76a1:0x55c05d34f3e7b9fd!8m2!3d15.9717259!4d108.2757816!16s%2Fg%2F12hxp35ln!19sChIJoXb7rPkQQjER_bnn8zRdwFU?authuser=0&hl=en&rclk=1,http://dananggolfclub.com/
attraction00045,Tam Thai Pagoda,tam thai,pagoda,"2736+GXP, Hòn Thủy Sơn, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000",Đà Nẵng,da nang,16.0038425,108.2624426,,1053000,₫1053000,4.6,Cultural,Attraction,https://www.google.com/maps/place/Tam+Thai+Pagoda/data=!4m7!3m6!1s0x314210c47c5ff7f7:0xc6ca526754ea96b8!8m2!3d16.0038425!4d108.2624426!16s%2Fg%2F11g6rkyzjx!19sChIJ9_dffMQQQjERuJbqVGdSysY?authuser=0&hl=en&rclk=1,
attraction00046,Hoi An Market,i an market,lake,"19 Trần Phú, Cẩm Châu, Hội An, Quảng Nam",Hội An,hoi an,15.8770038,108.331305,,763396,₫763396,4.4,Shopping,Attraction,https://www.google.com/maps/place/Hoi+An+Market/data=!4m7!3m6!1s0x31420e7f74e9fb9d:0x227b7d9724e95f4f!8m2!3d15.8770038!4d108.331305!16s%2Fg%2F1tq8g0pn!19sChIJnfvpdH8OQjERT1_pJJd9eyI?authuser=0&hl=en&rclk=1,
attraction00047,Công viên 29/3,29 3,park,"23 Nguyễn Tri Phương, Thạc Gián, Hải Châu, Đà Nẵng 550000",Đà Nẵng,da nang,16.0625186,108.2045143,,0,,4.4,Entertainment,Attraction,https://www.google.com/maps/place/C%C3%B4ng+vi%C3%AAn+29%2F3/data=!4m7!3m6!1s0x314219ceaeeb2d63:0xf558394a48fe0fde!8m2!3d16.0625186!4d108.2045143!16s%2Fg%2F11mr8jrb8c!19sChIJYy3rrs4ZQjER3g_-SEo5WPU?authuser=0&hl=en&rclk=1,
attraction00048,Hanh Coconut,hanh coconut,,"Trần Nhân Tông, Cẩm Thanh, Hội An, Quảng Nam",Hội An,hoi an,15.873375,108.3752232,0932 426 360 ,0,,4.3,Entertainment,Attraction,https://www.google.com/maps/place/Hanh+Coconut/data=!4m7!3m6!1s0x31420d3d85495939:0xfa48cfabc85d1291!8m2!3d15.873375!4d108.3752232!16s%2Fg%2F11h_0n_f4j!19sChIJOVlJhT0NQjERkRJdyKvPSPo?authuser=0&hl=en&rclk=1,
attraction00049,Non Nuoc Pagoda,non nuoc,pagoda,"Hòn Thủy Sơn, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000",Đà Nẵng,da nang,16.0027644,108.2645824,,567600,₫567600,4.4,Cultural,Attraction,https://www.google.com/maps/place/Non+Nuoc+Pagoda/data=!4m7!3m6!1s0x314210c62c63037d:0xb168fc4503bf59a3!8m2!3d16.0027644!4d108.2645824!16s%2Fg%2F11h17yz09!19sChIJfQNjLMYQQjERo1m_A0X8aLE?authuser=0&hl=en&rclk=1,
